"Year","Number of students","Born 19 years ago","Military service"
"1991",88792,,
"1992",96094,,
"1993",106925,,
"1994",109054,,
"1995",101255,,
"1996",101288,,
"1997",93172,,
"1998",86644,,
"1999",82818,,
"2000",82189,,
"2001",85307,,
"2002",91413,,
"2003",93706,,
"2004",97290,,
"2005",98032,52514,
"2006",96138,54027,
"2007",94567,57526,
"2008",96143,59303,
"2009",107122,60939,
"2010",106482,60808,
"2011",110750,60109,
"2012",117691,59678,7917
"2013",119782,60092,7468
"2014",121789,60292,6983
"2015",129985,60927,7741
"2016",133878,59801,6857
"2017",134330,58352,
